ID,AreaCodeID,CountryID,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type,Comment
25,11073,11073,1413,200025,,,,,,Havana,,,,
129,11211,11211,1413,200129,,,"Ibex House, The Minories",,,,,,,
129,11211,11211,1413,200129,,,,,,London,,,,
129,11211,11211,1413,200129,,,,,,,,EC3N 1DY,,
199,11196,11196,1413,200199,,,Zweierstrasse 35,,,,,,,
199,11196,11196,1413,200199,,,,,,Zurich,,,,
199,11196,11196,1413,200199,,,,,,,,CH-8022,,
200,11190,11190,1413,200200,,,Avenida de Concha Espina 8,,,,,,,
200,11190,11190,1413,200200,,,,,,Madrid,,,,
200,11190,11190,1413,200200,,,,,,,,E-28036,,
201,11115,11115,1413,200201,,,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",,,,,,,
201,11115,11115,1413,200201,,,,,,Tokyo,,,,
201,11115,11115,1413,200201,,,,,,,,103,,
202,11162,11162,1413,200202,,,Federico Boyd Avenue & 51 Street,,,,,,,
202,11162,11162,1413,200202,,,,,,Panama City,,,,
247,11162,11162,1413,200247,,,42 Via Brasil,,,,,,,
247,11162,11162,1413,200247,,,,,,Panama City,,,,
276,11162,11162,1413,200276,,,,,,Panama City,,,,
317,11143,11143,1413,200317,,,Emerson No. 148 Piso 7,,,,,,,
317,11143,11143,1413,200317,,,,,,"Mexico, D.F.",,,,
317,11143,11143,1413,200317,,,,,,,,11570,,
329,11190,11190,1413,200329,,,Jose Lazaro Galdeano 6-6,,,,,,,
329,11190,11190,1413,200329,,,,,,Madrid,,,,
329,11190,11190,1413,200329,,,,,,,,28016,,
331,11090,11090,1413,200331,,,,,,Paris,,,,
348,11113,11113,1413,200348,,,,,,Milan,,,,
357,11035,11035,1413,200357,,,,,,Buenos Aires,,,,
358,11143,11143,1413,200358,,,,,,Cancun,,,,
362,11143,11143,1413,200362,,,"Baja California 255, Edificio B. Oficina 103, Condesa",,,,,,,
362,11143,11143,1413,200362,,,,,,"Mexico, D.F.",,,,
362,11143,11143,1413,200362,,,,,,,,06500,,
365,11143,11143,1413,200365,,,"1649 Adolfo Prieto, Colonia del Valle",,,,,,,
365,11143,11143,1413,200365,,,,,,Mexico City,,,,
376,11196,11196,1413,200376,,,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",,,,,,,
376,11196,11196,1413,200376,,,,,,Geneva,,,,
438,11101,11101,1413,200438,,,32 Main Street,,,,,,,
438,11101,11101,1413,200438,,,,,,Georgetown,,,,
439,11090,11090,1413,200439,,,24 Rue Du Quatre Septembre,,,,,,,
439,11090,11090,1413,200439,,,,,,Paris,,,,
440,11033,11033,1413,200440,,,Belas Airport,,,,,,,
440,11033,11033,1413,200440,,,,,,Luanda,,,,
441,11171,11171,1413,200441,,,"Dobrininskaya No. 7, Sec 5",,,,,,,
441,11171,11171,1413,200441,,,,,,Moscow,,,,
442,11035,11035,1413,200442,,,Corrientes 545 Primer Piso,,,,,,,
442,11035,11035,1413,200442,,,,,,Buenos Aires,,,,
443,11094,11094,1413,200443,,,Frankfurter TOR 8-A,,,,,,,
443,11094,11094,1413,200443,,,,,,Berlin,,,,
444,11060,11060,1413,200444,,,"1 Place Ville Marie, Suite 3431",,,,,,,
444,11060,11060,1413,200444,,,,,,Montreal,,,,
445,11075,11075,1413,200445,,,Parizska 17,,,,,,,
445,11075,11075,1413,200445,,,,,,Prague,,,,
446,11165,11165,1413,200446,,,Paseo de la Republica 126,,,,,,,
446,11165,11165,1413,200446,,,,,,Lima,,,,
447,11102,11102,1413,200447,,,Piarco Airport,,,,,,,
447,11102,11102,1413,200447,,,,,,Port au Prince,,,,
448,11211,11211,1413,200448,,,c/o Anglo-Caribbean Shipping Co. Ltd.,,,,,,,
448,11211,11211,1413,200448,,,,"Ibex House, The Minories",,,,,,
448,11211,11211,1413,200448,,,,,,London,,,,
448,11211,11211,1413,200448,,,,,,,,EC3N 1DY,,
449,11114,11114,1413,200449,,,Norman Manley International Airport,,,,,,,
449,11114,11114,1413,200449,,,,,,Kingston,,,,
450,11143,11143,1413,200450,,,"Melchor Ocampo 469, 5DF",,,,,,,
450,11143,11143,1413,200450,,,,,,Mexico City,,,,
451,11162,11162,1413,200451,,,Calle 29 y Avda Justo Arosemena,,,,,,,
451,11162,11162,1413,200451,,,,,,Panama City,,,,
452,11043,11043,1413,200452,,,"Grantley Adams Airport, Christ Church",,,,,,,
453,11190,11190,1413,200453,,,,,,Madrid,,,,
454,11090,11090,1413,200454,,,,,,Paris,,,,
455,11113,11113,1413,200455,,,,,,Milan,,,,
456,11171,11171,1413,200456,,,,,,Moscow,,,,
457,11190,11190,1413,200457,,,,,,Madrid,,,,
458,11094,11094,1413,200458,,,,,,Cologne,,,,
459,11060,11060,1413,200459,,,Downsview,,,,,,,
459,11060,11060,1413,200459,,,,,,Ontario,,,,
460,11115,11115,1413,200460,,,,,,Tokyo,,,,
461,11035,11035,1413,200461,,,,,,Buenos Aires,,,,
465,11211,11211,1413,200465,,,"Devonshire House, 1 Devonshire Street",,,,,,,
465,11211,11211,1413,200465,,,,,,London,,,,
466,11115,11115,1413,200466,,,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",,,,,,,
466,11115,11115,1413,200466,,,,,,Tokyo,,,,
500,11060,11060,1413,200500,,,5250 Ferrier Street,,,,,,,
500,11060,11060,1413,200500,,,,,,Montreal,,,,
500,11060,11060,1413,200500,,,,,,,Quebec,,,
44386,11211,11211,1413,244386,,,4th Floor,,,,,,,
44386,11211,11211,1413,244386,,,,189 Marsh Wall,,,,,,
44386,11211,11211,1413,244386,,,,,,London,,,,
44386,11211,11211,1413,244386,,,,,,,,E14 9SH,,
44387,11073,11073,1413,244387,,,"Edificio Atlantic, Oficina 4 H",,,,,,,
44387,11073,11073,1413,244387,,,,Calle D No. 8 entre 1ra. y 3ra.,,,,,,
44387,11073,11073,1413,244387,,,,,"Vedado, Plaza de la Revolucion",,,,,
44387,11073,11073,1413,244387,,,,,,Havana,,,,
44387,11073,11073,1413,244387,,,,,,,,10400,,
572,11090,11090,1413,200572,,,54 Rue Richelieu,,,,,,,
572,11090,11090,1413,200572,,,,,,Paris,,,,
825,11120,11120,1413,200825,,,,,,Pyongyang,,,,
826,11171,11171,1413,200826,,,,,,Moscow,,,,
827,11190,11190,1413,200827,,,,,,Barcelona,,,,
828,11094,11094,1413,200828,,,,,,Rostock,,,,
829,11113,11113,1413,200829,,,,,,Genoa,,,,
830,11167,11167,1413,200830,,,,,,Syczecin,,,,
831,11153,11153,1413,200831,,,,,,Rotterdam,,,,
833,11035,11035,1413,200833,,,,,,Buenos Aires,,,,
834,11060,11060,1413,200834,,,,,,Montreal,,,,
835,11054,11054,1413,200835,,,,,,Varna,,,,
848,11035,11035,1413,200848,,,"San Martin 323, Piso 14",,,,,,,
848,11035,11035,1413,200848,,,,,,Buenos Aires,,,,
997,11153,11153,1413,200997,,,Boezembolcht 23,,,,,,,
997,11153,11153,1413,200997,,,,,,Rotterdam,,,,
1007,11096,11096,1413,201007,,,33 Akti Maouli,,,,,,,
1007,11096,11096,1413,201007,,,,,,Pireas (Piraeus),,,,
1007,11096,11096,1413,201007,,,,,,,,185-35,,
1101,11060,11060,1413,201101,,,1010 O Rue Ste. Catherine,,,,,,,
1101,11060,11060,1413,201101,,,,,,Montreal,,,,
1101,11060,11060,1413,201101,,,,,,,,PQ H303 IGI,,
1394,11162,11162,1413,201394,,,Edificio Saldivar,,,,,,,
1394,11162,11162,1413,201394,,,,,,Panama City,,,,
1395,11094,11094,1413,201395,,,Lietzenburger Strasse 51,,,,,,,
1395,11094,11094,1413,201395,,,,,,Berlin,,,,
1431,11143,11143,1413,201431,,,,,,Cancun,,,,
1432,11143,11143,1413,201432,,,,,,Guadalajara,,,,
1433,11143,11143,1413,201433,,,,,,Mexico City,,,,
1434,11143,11143,1413,201434,,,,,,Monterey,,,,
1435,11143,11143,1413,201435,,,,,,Roma,,,,
1849,11291,11291,1413,201849,,,,,,Gaza Strip,,,,
1982,11060,11060,1413,201982,,,,,,Saskatchewan,,,,
1982,11060,11060,1413,201982,,,,,,,AB,,,
1984,11060,11060,1413,201984,,,,,,Saskatchewan,,,,
1984,11060,11060,1413,201984,,,,,,,AB,,,
2007,11066,11066,1413,202007,,,,,,Cali,,,,
2008,11066,11066,1413,202008,,,"Casa No. 19, Avenida Lago, Ciudad Jardin",,,,,,,
2008,11066,11066,1413,202008,,,,,,Cali,,,,
2256,11197,11197,1413,202256,,,,,,Damascus,,,,
2898,11109,11109,1413,202898,,,"PO Box 15875/7177, 144 Mirdamad Blvd",,,,,,,
2898,11109,11109,1413,202898,,,,,,Tehran,,,,
16811,11109,11109,1413,216811,,,213 Ferdowsi Avenue,,,,,,,
16811,11109,11109,1413,216811,,,,,,Tehran,,,,
16811,11109,11109,1413,216811,,,,,,,,11365,,
41726,11109,11109,1413,241726,,,"Mirdamad Blvd, 144 - P.O. Box 15875/7/77",,,,,,,
41726,11109,11109,1413,241726,,,,,,Tehran,,,,
2899,11109,11109,1413,202899,,,"PO Box 11365/5699, No 247 3rd Floor Fedowsi Ave, Cross Sarhang Sakhaei St",,,,,,,
2899,11109,11109,1413,202899,,,,,,Tehran,,,,
45326,11109,11109,1413,245326,,,P.O. Box 11365-3499,,,,,,,
45326,11109,11109,1413,245326,,,,"Ferdowsi Ave, Cross Sarhang Sakhaie St",,,,,,
45326,11109,11109,1413,245326,,,,,,Tehran,,,,
2901,11109,11109,1413,202901,,,"No. 40 North Shiraz Street, Mollasadra Ave, Vanak Sq",,,,,,,
2901,11109,11109,1413,202901,,,,,,Tehran,,,,
2901,11109,11109,1413,202901,,,,,,,,19917,,
45327,11109,11109,1413,245327,,,"No. 40, North Shiraz St, Mollasadra Ave",,,,,,,
45327,11109,11109,1413,245327,,,,,,Tehran,,,,
45328,11109,11109,1413,245328,,,"40, Northern Shirazi St, Molla Sadra Ave",,,,,,,
45328,11109,11109,1413,245328,,,,,,Tehran,,,,
45328,11109,11109,1413,245328,,,,,,,,19917,,
2905,11109,11109,1413,202905,,,"PO Box 14155-6395, 129 Patrice Lumumba St, Jalal-al-Ahmad Expressway",,,,,,,
2905,11109,11109,1413,202905,,,,,,Tehran,,,,
2905,11109,11109,1413,202905,,,,,,,,14454,,
16813,11211,11211,1413,216813,,,5 Lothbury,,,,,,,
16813,11211,11211,1413,216813,,,,,,London,,,,
16813,11211,11211,1413,216813,,,,,,,,EC2R 7HD,,
16814,11109,11109,1413,216814,,,"PO Box 15175/584, 6th Floor, Sadaf Bldg, 1137 Vali Asr Ave",,,,,,,
16814,11109,11109,1413,216814,,,,,,Tehran,,,,
16814,11109,11109,1413,216814,,,,,,,,15119-43885,,
3969,11066,11066,1413,203969,,,Km. 3 Via Marsella Parque Industrial,,,,,,,
3969,11066,11066,1413,203969,,,,,,Pereira,,,,
3970,11066,11066,1413,203970,,,Apartado Aereo 3786,,,,,,,
3970,11066,11066,1413,203970,,,,,,Pereira,,,,
3985,11066,11066,1413,203985,,,Carrera 23D No. 13B-59,,,,,,,
3985,11066,11066,1413,203985,,,,,,Cali,,,,
4000,11066,11066,1413,204000,,,Km. 3 Via Marsella Parque Industrial,,,,,,,
