ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
1052,1641,11162,Panama,,201052,,,,,,,,,Latin
1069,1660,11190,Spain,,201069,,,,,,,,,Latin
1100,1700,11143,Mexico,,201100,,,,,,,,,Latin
1101,1701,11060,Canada,,201101,,,1010 O Rue Ste. Catherine,,,Montreal,,PQ H303 IGI,Latin
1102,1702,11190,Spain,,201102,,,,,,,,,Latin
1237,1888,11162,Panama,,201237,,,,,,,,,Latin
1394,2109,11162,Panama,,201394,,,Edificio Saldivar,,,Panama City,,,Latin
1395,2110,11094,Germany,,201395,,,Lietzenburger Strasse 51,,,Berlin,,,Latin
1430,2184,11190,Spain,,201430,,,,,,,,,Latin
1431,2186,11143,Mexico,,201431,,,,,,Cancun,,,Latin
1432,2186,11143,Mexico,,201432,,,,,,Guadalajara,,,Latin
1433,2186,11143,Mexico,,201433,,,,,,Mexico City,,,Latin
1434,2186,11143,Mexico,,201434,,,,,,Monterey,,,Latin
1435,2186,11143,Mexico,,201435,,,,,,Roma,,,Latin
1832,2674,11291,,,201832,,,,,,,,,Latin
1833,2675,11291,,,201833,,,,,,,,,Latin
1834,2676,11291,,,201834,,,,,,,,,Latin
1835,2677,11082,Egypt,,201835,,,,,,,,,Latin
1836,2678,11291,,,201836,,,,,,,,,Latin
1837,2679,11291,,,201837,,,,,,,,,Latin
1839,2681,11291,,,201839,,,,,,,,,Latin
1840,2682,11291,,,201840,,,,,,,,,Latin
1841,2683,11291,,,201841,,,,,,,,,Latin
1843,2685,11291,,,201843,,,,,,,,,Latin
37108,2686,11126,Lebanon,,237108,,,,,,,,,Latin
1848,2690,11291,,,201848,,,,,,,,,Latin
1849,2691,11291,undetermined,,201849,,,,,,Gaza Strip,,,Latin
1982,3748,11060,Canada,,201982,,,,,,Saskatchewan,AB,,Latin
1983,3749,11073,Cuba,,201983,,,,,,,,,Latin
1984,3750,11060,Canada,,201984,,,,,,Saskatchewan,AB,,Latin
1985,3751,11073,Cuba,,201985,,,,,,,,,Latin
1991,3754,11291,,,201991,,,,,,,,,Latin
2007,4107,11066,Colombia,,202007,,,,,,Cali,,,Latin
2008,4108,11066,Colombia,,202008,,,"Casa No. 19, Avenida Lago, Ciudad Jardin",,,Cali,,,Latin
2237,4238,11291,,,202237,,,,,,,,,Latin
2242,4243,11291,,,202242,,,,,,,,,Latin
2248,4249,11291,,,202248,,,,,,,,,Latin
2256,4257,11197,Syria,,202256,,,,,,Damascus,,,Latin
2898,4632,11109,Iran,,202898,,,"PO Box 15875/7177, 144 Mirdamad Blvd",,,Tehran,,,Latin
16811,4632,11109,Iran,,216811,,,213 Ferdowsi Avenue,,,Tehran,,11365,Latin
41726,4632,11109,Iran,,241726,,,"Mirdamad Blvd, 144 - P.O. Box 15875/7/77",,,Tehran,,,Latin
2899,4633,11109,Iran,,202899,,,"PO Box 11365/5699, No 247 3rd Floor Fedowsi Ave, Cross Sarhang Sakhaei St",,,Tehran,,,Latin
45326,4633,11109,Iran,,245326,,,P.O. Box 11365-3499,"Ferdowsi Ave, Cross Sarhang Sakhaie St",,Tehran,,,Latin
2901,4635,11109,Iran,,202901,,,"No. 40 North Shiraz Street, Mollasadra Ave, Vanak Sq",,,Tehran,,19917,Latin
45327,4635,11109,Iran,,245327,,,"No. 40, North Shiraz St, Mollasadra Ave",,,Tehran,,,Latin
45328,4635,11109,Iran,,245328,,,"40, Northern Shirazi St, Molla Sadra Ave",,,Tehran,,19917,Latin
2905,4639,11109,Iran,,202905,,,"PO Box 14155-6395, 129 Patrice Lumumba St, Jalal-al-Ahmad Expressway",,,Tehran,,14454,Latin
16813,4642,11211,United Kingdom,,216813,,,5 Lothbury,,,London,,EC2R 7HD,Latin
16814,4642,11109,Iran,,216814,,,"PO Box 15175/584, 6th Floor, Sadaf Bldg, 1137 Vali Asr Ave",,,Tehran,,15119-43885,Latin
2921,4688,11291,,,202921,,,,,,,,,Latin
2923,4690,11291,,,202923,,,,,,,,,Latin
2924,4691,11291,,,202924,,,,,,,,,Latin
2925,4693,11291,,,202925,,,,,,,,,Latin
2926,4694,11291,,,202926,,,,,,,,,Latin
2927,4695,11291,,,202927,,,,,,,,,Latin
2928,4696,11291,,,202928,,,,,,,,,Latin
2929,4697,11291,,,202929,,,,,,,,,Latin
2932,4700,11291,,,202932,,,,,,,,,Latin
2934,4702,11291,,,202934,,,,,,,,,Latin
2935,4703,11291,,,202935,,,,,,,,,Latin
2938,4706,11291,,,202938,,,,,,,,,Latin
2939,4707,11291,,,202939,,,,,,,,,Latin
2940,4708,11291,,,202940,,,,,,,,,Latin
2941,4709,11291,,,202941,,,,,,,,,Latin
2942,4710,11291,,,202942,,,,,,,,,Latin
2945,4713,11291,,,202945,,,,,,,,,Latin
2946,4714,11291,,,202946,,,,,,,,,Latin
2947,4715,11291,,,202947,,,,,,,,,Latin
2949,4717,11291,,,202949,,,,,,,,,Latin
3872,6365,11291,,,203872,,,,,,,,,Latin
3873,6366,11291,,,203873,,,,,,,,,Latin
3874,6367,11291,,,203874,,,,,,,,,Latin
3875,6368,11291,,,203875,,,,,,,,,Latin
3969,6531,11066,Colombia,,203969,,,Km. 3 Via Marsella Parque Industrial,,,Pereira,,,Latin
3970,6531,11066,Colombia,,203970,,,Apartado Aereo 3786,,,Pereira,,,Latin
3985,6539,11066,Colombia,,203985,,,Carrera 23D No. 13B-59,,,Cali,,,Latin
4000,6550,11066,Colombia,,204000,,,Km. 3 Via Marsella Parque Industrial,,,Pereira,,,Latin
4001,6550,11066,Colombia,,204001,,,Carrera 10 No. 34-21 Dosq.,,,Pereira,,,Latin
4002,6550,11066,Colombia,,204002,,,Apartado Aereo 3786,,,Pereira,,,Latin
4474,6635,11029,Afghanistan,,204474,,,,,,,,,Latin
4475,6636,11029,Afghanistan,,204475,,,,,,,,,Latin
4516,6663,11066,Colombia,,204516,,,Km. 3 Via Marsella,,,Pereira,,,Latin
4544,6680,11066,Colombia,,204544,,,Calle 34 No. 5A-25,,,Cali,,,Latin
4545,6680,11066,Colombia,,204545,,,Carrera 15 No. 44-68,,,Cali,,,Latin
4631,6703,11291,,,204631,,,,,,,,,Latin
4632,6704,11291,,,204632,,,,,,,,,Latin
4634,6706,11291,,,204634,,,,,,,,,Latin
