FixedRef,FeatureType,Value
36,25,Location
173,25,Location
306,25,Location
306,25,Location
306,25,Location
306,25,Location
424,25,Location
475,25,Location
475,25,Location
480,25,Location
535,25,Location
536,25,Location
537,25,Location
540,25,Location
551,25,Location
552,25,Location
555,25,Location
559,25,Location
576,25,Location
578,25,Location
589,25,Location
590,25,Location
591,25,Location
592,25,Location
593,25,Location
621,25,Location
622,25,Location
636,25,Location
651,25,Location
701,25,Location
702,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
735,25,Location
751,25,Location
751,25,Location
751,25,Location
751,25,Location
751,25,Location
751,25,Location
751,25,Location
758,25,Location
767,25,Location
768,25,Location
815,25,Location
906,13,SWIFT/BIC
906,14,Website
906,14,Website
906,25,Location
906,25,Location
907,25,Location
1042,25,Location
1043,25,Location
1241,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1287,25,Location
1316,25,Location
1555,25,Location
1570,25,Location
1571,25,Location
1641,25,Location
1660,25,Location
1700,25,Location
1701,25,Location
1702,25,Location
1888,25,Location
2109,25,Location
2110,25,Location
2184,25,Location
2186,25,Location
2186,25,Location
2186,25,Location
2186,25,Location
2186,25,Location
2674,8,Birthdate
2674,25,Location
2674,26,Title
2675,8,Birthdate
2675,9,Place of Birth
2675,25,Location
2675,26,Title
2676,8,Birthdate
2676,9,Place of Birth
2676,25,Location
2676,26,Title
2677,9,Place of Birth
2677,8,Birthdate
2677,10,Nationality Country
2677,224,Gender
2677,25,Location
2678,8,Birthdate
2678,25,Location
2678,26,Title
2679,8,Birthdate
2679,9,Place of Birth
2679,8,Birthdate
2679,125,Additional Sanctions Information -
2679,25,Location
2679,26,Title
2681,8,Birthdate
2681,25,Location
2681,26,Title
2682,8,Birthdate
2682,9,Place of Birth
2682,25,Location
2682,26,Title
2683,8,Birthdate
2683,9,Place of Birth
2683,25,Location
2683,26,Title
2685,8,Birthdate
2685,9,Place of Birth
2685,25,Location
2685,26,Title
2686,8,Birthdate
2686,9,Place of Birth
2686,8,Birthdate
2686,8,Birthdate
2686,8,Birthdate
2686,125,Additional Sanctions Information -
2686,224,Gender
2686,25,Location
2686,26,Title
2690,8,Birthdate
2690,9,Place of Birth
2690,25,Location
2690,26,Title
2691,8,Birthdate
2691,9,Place of Birth
2691,25,Location
3748,25,Location
3749,25,Location
3750,25,Location
3751,25,Location
3754,8,Birthdate
3754,9,Place of Birth
3754,25,Location
3754,26,Title
4107,8,Birthdate
4107,25,Location
4108,8,Birthdate
4108,8,Birthdate
4108,25,Location
4238,1,Vessel Call Sign
4238,3,Vessel Flag
4238,4,Vessel Owner
4238,6,Vessel Gross Registered Tonnage
4238,2,VESSEL TYPE
4238,25,Location
4243,3,Vessel Flag
4243,5,Vessel Tonnage
4243,6,Vessel Gross Registered Tonnage
4243,2,VESSEL TYPE
4243,25,Location
4249,1,Vessel Call Sign
4249,3,Vessel Flag
4249,6,Vessel Gross Registered Tonnage
4249,2,VESSEL TYPE
4249,25,Location
4257,8,Birthdate
4257,9,Place of Birth
4257,25,Location
4257,26,Title
4632,125,Additional Sanctions Information -
4632,25,Location
4632,25,Location
4632,25,Location
4633,125,Additional Sanctions Information -
4633,14,Website
4633,25,Location
4633,25,Location
4635,125,Additional Sanctions Information -
4635,14,Website
4635,14,Website
4635,25,Location
4635,25,Location
4635,25,Location
4639,125,Additional Sanctions Information -
4639,14,Website
4639,14,Website
4639,25,Location
4642,125,Additional Sanctions Information -
4642,25,Location
4642,25,Location
4688,25,Location
4690,25,Location
4691,25,Location
4693,25,Location
4694,25,Location
4695,25,Location
4696,25,Location
4697,125,Additional Sanctions Information -
4697,25,Location
4700,25,Location
4702,25,Location
4703,25,Location
4706,25,Location
4707,25,Location
4708,25,Location
4709,25,Location
4710,25,Location
4713,25,Location
4714,25,Location
4715,25,Location
4717,25,Location
6365,8,Birthdate
6365,9,Place of Birth
6365,9,Place of Birth
6365,8,Birthdate
6365,25,Location
6366,25,Location
6367,8,Birthdate
6367,9,Place of Birth
6367,8,Birthdate
6367,8,Birthdate
6367,25,Location
6368,8,Birthdate
6368,9,Place of Birth
6368,25,Location
6531,25,Location
6531,25,Location
6539,25,Location
6550,25,Location
6550,25,Location
6550,25,Location
6635,8,Birthdate
6635,9,Place of Birth
6635,25,Location
6635,26,Title
6636,25,Location
6663,25,Location
6680,25,Location
6680,25,Location
6703,8,Birthdate
6703,9,Place of Birth
6703,8,Birthdate
6703,8,Birthdate
6703,25,Location
6704,8,Birthdate
6704,9,Place of Birth
6704,8,Birthdate
6704,8,Birthdate
6704,25,Location
6706,8,Birthdate
6706,9,Place of Birth
6706,25,Location
6707,8,Birthdate
6707,9,Place of Birth
6707,8,Birthdate
6707,8,Birthdate
6707,25,Location
6708,8,Birthdate
6708,9,Place of Birth
6708,25,Location
6709,8,Birthdate
6709,9,Place of Birth
6709,8,Birthdate
6709,8,Birthdate
6709,25,Location
6710,8,Birthdate
6710,9,Place of Birth
6710,25,Location
6712,8,Birthdate
6712,9,Place of Birth
6712,25,Location
6713,8,Birthdate
6713,9,Place of Birth
6713,25,Location
6714,8,Birthdate
6714,8,Birthdate
6714,25,Location
6715,8,Birthdate
6715,9,Place of Birth
6715,8,Birthdate
6715,8,Birthdate
6715,25,Location
6717,8,Birthdate
6717,9,Place of Birth
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6717,25,Location
6718,8,Birthdate
6718,25,Location
6718,25,Location
6718,25,Location
6719,25,Location
6719,25,Location
6719,25,Location
6720,25,Location
6720,25,Location
6720,25,Location
6721,25,Location
6722,25,Location
6722,25,Location
6723,25,Location
6723,25,Location
6724,8,Birthdate
6724,9,Place of Birth
6724,25,Location
6724,25,Location
6724,25,Location
6724,25,Location
6724,25,Location
6724,25,Location
6725,25,Location
6726,25,Location
6823,8,Birthdate
6823,25,Location
6823,25,Location
6823,25,Location
6823,25,Location
6824,25,Location
6824,25,Location
6826,25,Location
6826,25,Location
6831,8,Birthdate
6831,25,Location
6831,25,Location
6832,25,Location
6853,504,Secondary sanctions risk:
6853,25,Location
6853,25,Location
6856,8,Birthdate
6856,9,Place of Birth
6856,8,Birthdate
6856,25,Location
6857,8,Birthdate
6857,9,Place of Birth
6857,25,Location
6858,8,Birthdate
6858,9,Place of Birth
6858,25,Location
6859,8,Birthdate
6859,9,Place of Birth
6859,25,Location
6860,8,Birthdate
6860,9,Place of Birth
6860,25,Location
6861,8,Birthdate
6861,9,Place of Birth
6861,25,Location
6862,8,Birthdate
6862,25,Location
6863,8,Birthdate
6863,9,Place of Birth
6863,25,Location
6864,8,Birthdate
6864,9,Place of Birth
6864,25,Location
6865,8,Birthdate
6865,9,Place of Birth
6865,25,Location
6866,8,Birthdate
6866,25,Location
6895,25,Location
6896,25,Location
6897,25,Location
6898,25,Location
6899,25,Location
6900,25,Location
6901,8,Birthdate
6901,9,Place of Birth
6901,25,Location
6903,8,Birthdate
6903,9,Place of Birth
6903,10,Nationality Country
6903,224,Gender
6903,25,Location
6905,8,Birthdate
6905,9,Place of Birth
6905,10,Nationality Country
6905,224,Gender
6905,25,Location
6906,224,Gender
6906,8,Birthdate
6906,9,Place of Birth
6906,10,Nationality Country
6906,25,Location
6907,8,Birthdate
6907,9,Place of Birth
6907,25,Location
6908,8,Birthdate
6908,9,Place of Birth
6908,25,Location
6910,25,Location
6911,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6912,25,Location
6913,25,Location
6915,8,Birthdate
6915,9,Place of Birth
6915,11,Citizenship Country
6915,25,Location
6916,8,Birthdate
6916,9,Place of Birth
6916,11,Citizenship Country
6916,25,Location
6918,8,Birthdate
6918,9,Place of Birth
6918,11,Citizenship Country
6918,25,Location
6919,9,Place of Birth
6919,11,Citizenship Country
6919,25,Location
6920,8,Birthdate
6920,9,Place of Birth
6920,11,Citizenship Country
6920,25,Location
6921,8,Birthdate
6921,9,Place of Birth
6921,11,Citizenship Country
6921,125,Additional Sanctions Information -
6921,25,Location
6923,8,Birthdate
6923,9,Place of Birth
6923,11,Citizenship Country
6923,8,Birthdate
6923,25,Location
6924,8,Birthdate
6924,9,Place of Birth
6924,11,Citizenship Country
6924,11,Citizenship Country
6924,25,Location
6925,8,Birthdate
6925,9,Place of Birth
6925,11,Citizenship Country
6925,8,Birthdate
6925,8,Birthdate
6925,8,Birthdate
6925,25,Location
6926,8,Birthdate
6926,9,Place of Birth
6926,11,Citizenship Country
6926,125,Additional Sanctions Information -
6926,25,Location
6927,8,Birthdate
6927,9,Place of Birth
6927,11,Citizenship Country
6927,11,Citizenship Country
6927,8,Birthdate
6927,8,Birthdate
6927,25,Location
6928,8,Birthdate
6928,9,Place of Birth
6928,11,Citizenship Country
6928,8,Birthdate
6928,224,Gender
6928,25,Location
6931,8,Birthdate
6931,9,Place of Birth
6931,11,Citizenship Country
6931,25,Location
6932,25,Location
6935,25,Location
6936,25,Location
6937,25,Location
6937,25,Location
6938,25,Location
6939,8,Birthdate
6939,9,Place of Birth
6939,10,Nationality Country
6939,224,Gender
6939,25,Location
6940,8,Birthdate
6940,9,Place of Birth
6940,25,Location
6941,8,Birthdate
6941,9,Place of Birth
6941,25,Location
6944,8,Birthdate
6944,9,Place of Birth
6944,8,Birthdate
6944,8,Birthdate
6944,10,Nationality Country
6944,25,Location
6945,8,Birthdate
6945,25,Location
6946,8,Birthdate
6946,9,Place of Birth
6946,25,Location
6946,25,Location
6946,25,Location
6946,25,Location
6946,25,Location
6947,8,Birthdate
6947,9,Place of Birth
6947,25,Location
6948,8,Birthdate
6948,9,Place of Birth
6948,25,Location
6950,8,Birthdate
6950,8,Birthdate
6950,9,Place of Birth
6950,10,Nationality Country
6950,25,Location
6950,25,Location
7006,8,Birthdate
7006,11,Citizenship Country
7006,25,Location
7114,25,Location
7114,25,Location
7115,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7116,25,Location
7132,25,Location
7132,25,Location
7133,8,Birthdate
7133,10,Nationality Country
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,8,Birthdate
7133,25,Location
7135,8,Birthdate
7135,10,Nationality Country
7135,8,Birthdate
7135,25,Location
7138,8,Birthdate
7138,10,Nationality Country
7138,25,Location
7140,25,Location
7141,25,Location
7142,25,Location
7143,25,Location
7144,25,Location
7145,25,Location
7146,25,Location
7148,10,Nationality Country
7148,8,Birthdate
7148,9,Place of Birth
7148,224,Gender
7148,25,Location
7149,25,Location
7149,25,Location
7149,25,Location
7149,25,Location
7149,25,Location
7149,25,Location
7150,8,Birthdate
7150,8,Birthdate
7150,10,Nationality Country
7150,25,Location
7151,25,Location
7151,25,Location
7151,25,Location
7152,25,Location
7153,25,Location
7154,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7156,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7157,25,Location
7158,25,Location
7160,25,Location
7160,25,Location
7160,25,Location
7161,25,Location
7161,25,Location
7162,25,Location
7162,25,Location
7163,8,Birthdate
7163,9,Place of Birth
7163,25,Location
7163,25,Location
7163,25,Location
7163,25,Location
7164,8,Birthdate
7164,9,Place of Birth
7164,25,Location
7164,25,Location
7166,8,Birthdate
7166,25,Location
7167,8,Birthdate
7167,9,Place of Birth
7167,25,Location
7167,25,Location
7167,25,Location
7167,25,Location
7167,25,Location
7167,25,Location
7167,25,Location
7169,8,Birthdate
7169,9,Place of Birth
7169,25,Location
7169,25,Location
7169,25,Location
7169,25,Location
7169,25,Location
7169,25,Location
7170,8,Birthdate
7170,9,Place of Birth
7170,25,Location
7170,25,Location
7170,25,Location
7172,8,Birthdate
7172,9,Place of Birth
7172,25,Location
7172,25,Location
7172,25,Location
7172,25,Location
7173,8,Birthdate
7173,9,Place of Birth
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7173,25,Location
7174,8,Birthdate
7174,9,Place of Birth
7174,25,Location
7174,25,Location
7176,8,Birthdate
7176,25,Location
7176,25,Location
7176,25,Location
7177,8,Birthdate
7177,9,Place of Birth
7177,25,Location
7177,25,Location
7177,25,Location
7177,25,Location
7177,25,Location
7177,25,Location
7178,8,Birthdate
7178,9,Place of Birth
7178,25,Location
7179,8,Birthdate
7179,9,Place of Birth
7179,25,Location
7180,8,Birthdate
7180,9,Place of Birth
7180,25,Location
7181,8,Birthdate
7181,9,Place of Birth
7181,25,Location
7182,8,Birthdate
7182,9,Place of Birth
7182,25,Location
7183,8,Birthdate
7183,9,Place of Birth
7183,25,Location
7184,8,Birthdate
7184,9,Place of Birth
7184,25,Location
7185,8,Birthdate
7185,9,Place of Birth
7185,25,Location
7186,8,Birthdate
7186,9,Place of Birth
7186,25,Location
7187,8,Birthdate
7187,9,Place of Birth
7187,25,Location
7188,8,Birthdate
7188,9,Place of Birth
7188,25,Location
7189,8,Birthdate
7189,9,Place of Birth
7189,25,Location
7190,8,Birthdate
7190,9,Place of Birth
7190,25,Location
7191,8,Birthdate
7191,9,Place of Birth
7191,25,Location
7192,8,Birthdate
7192,9,Place of Birth
7192,25,Location
7193,8,Birthdate
7193,9,Place of Birth
7193,25,Location
7194,8,Birthdate
7194,9,Place of Birth
7194,25,Location
7195,8,Birthdate
7195,9,Place of Birth
7195,25,Location
7196,8,Birthdate
7196,9,Place of Birth
7196,25,Location
7197,8,Birthdate
7197,9,Place of Birth
7197,25,Location
7198,8,Birthdate
7198,9,Place of Birth
7198,25,Location
7199,25,Location
7199,25,Location
7200,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7201,25,Location
7203,8,Birthdate
7203,9,Place of Birth
7203,10,Nationality Country
7203,25,Location
7204,8,Birthdate
7204,9,Place of Birth
7204,9,Place of Birth
7204,25,Location
7205,8,Birthdate
7205,9,Place of Birth
7205,10,Nationality Country
7205,25,Location
7207,8,Birthdate
7207,9,Place of Birth
7207,25,Location
7208,8,Birthdate
7208,9,Place of Birth
7208,10,Nationality Country
7208,25,Location
7209,8,Birthdate
7209,8,Birthdate
7209,9,Place of Birth
7209,10,Nationality Country
7209,25,Location
7210,8,Birthdate
7210,25,Location
7210,25,Location
7211,8,Birthdate
7211,9,Place of Birth
7211,25,Location
7212,8,Birthdate
7212,9,Place of Birth
7212,25,Location
7213,8,Birthdate
7213,9,Place of Birth
7213,25,Location
7214,8,Birthdate
7214,9,Place of Birth
7214,25,Location
7215,8,Birthdate
7215,9,Place of Birth
7215,25,Location
7216,8,Birthdate
7216,9,Place of Birth
7216,25,Location
7217,8,Birthdate
7217,9,Place of Birth
7217,25,Location
7219,25,Location
7220,8,Birthdate
7220,9,Place of Birth
7220,25,Location
7221,8,Birthdate
7221,9,Place of Birth
7221,8,Birthdate
7221,25,Location
7222,8,Birthdate
7222,9,Place of Birth
7222,25,Location
7223,8,Birthdate
7223,9,Place of Birth
7223,25,Location
7224,8,Birthdate
7224,9,Place of Birth
7224,8,Birthdate
7224,8,Birthdate
7224,8,Birthdate
7224,8,Birthdate
7224,25,Location
7226,224,Gender
7226,10,Nationality Country
7226,8,Birthdate
7226,9,Place of Birth
7226,25,Location
7227,25,Location
7228,25,Location
7234,25,Location
7235,8,Birthdate
7235,9,Place of Birth
7235,25,Location
7251,8,Birthdate
7251,9,Place of Birth
7251,10,Nationality Country
7251,25,Location
7252,8,Birthdate
7252,9,Place of Birth
7252,10,Nationality Country
7252,25,Location
7253,8,Birthdate
7253,9,Place of Birth
7253,25,Location
7254,8,Birthdate
7254,9,Place of Birth
7254,10,Nationality Country
7254,25,Location
7255,8,Birthdate
7255,9,Place of Birth
7255,10,Nationality Country
7255,25,Location
7256,8,Birthdate
7256,9,Place of Birth
7256,25,Location
7257,8,Birthdate
7257,9,Place of Birth
7257,9,Place of Birth
7257,10,Nationality Country
7257,25,Location
7258,8,Birthdate
7258,9,Place of Birth
7258,25,Location
7259,8,Birthdate
7259,9,Place of Birth
7259,25,Location
7260,8,Birthdate
7260,9,Place of Birth
7260,25,Location
7261,8,Birthdate
7261,9,Place of Birth
7261,10,Nationality Country
7261,25,Location
7262,25,Location
7263,8,Birthdate
7263,9,Place of Birth
7263,8,Birthdate
7263,10,Nationality Country
7263,25,Location
7264,8,Birthdate
7264,9,Place of Birth
7264,10,Nationality Country
7264,10,Nationality Country
7264,25,Location
7264,25,Location
7264,25,Location
7264,25,Location
7265,8,Birthdate
7265,9,Place of Birth
7265,10,Nationality Country
7265,9,Place of Birth
7265,8,Birthdate
7265,224,Gender
7265,25,Location
7266,8,Birthdate
7266,9,Place of Birth
7266,10,Nationality Country
7266,25,Location
7267,8,Birthdate
7267,9,Place of Birth
7267,8,Birthdate
7267,25,Location
7268,25,Location
7269,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7270,25,Location
7280,25,Location
7281,8,Birthdate
7281,9,Place of Birth
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7281,25,Location
7282,8,Birthdate
7282,9,Place of Birth
7282,25,Location
7282,25,Location
7282,25,Location
7282,25,Location
7283,25,Location
7283,25,Location
7284,25,Location
7285,25,Location
7286,25,Location
7286,25,Location
7287,25,Location
7287,25,Location
7288,25,Location
7288,25,Location
7289,25,Location
7290,25,Location
7291,25,Location
7291,25,Location
7292,25,Location
7292,25,Location
7293,25,Location
7294,25,Location
7295,25,Location
7295,25,Location
7295,25,Location
7302,8,Birthdate
7302,9,Place of Birth
7302,25,Location
7302,25,Location
7303,8,Birthdate
7303,25,Location
7303,25,Location
7303,25,Location
7303,25,Location
7303,25,Location
7304,8,Birthdate
7304,25,Location
7304,25,Location
7304,25,Location
7304,25,Location
7304,25,Location
7304,25,Location
7304,25,Location
7304,25,Location
7308,25,Location
7308,25,Location
7308,25,Location
7308,25,Location
7311,25,Location
7311,25,Location
7311,25,Location
7313,8,Birthdate
7313,9,Place of Birth
7313,8,Birthdate
7313,25,Location
7313,25,Location
7313,25,Location
7314,8,Birthdate
7314,9,Place of Birth
7314,25,Location
7314,25,Location
7316,8,Birthdate
7316,25,Location
7317,8,Birthdate
7317,9,Place of Birth
7317,25,Location
7318,8,Birthdate
7318,9,Place of Birth
7318,25,Location
7319,8,Birthdate
7319,9,Place of Birth
7319,25,Location
7320,8,Birthdate
7320,9,Place of Birth
7320,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7321,25,Location
7322,25,Location
7322,25,Location
7322,25,Location
7322,25,Location
7323,25,Location
7323,25,Location
7323,25,Location
7323,25,Location
7323,25,Location
7324,25,Location
7325,25,Location
7326,8,Birthdate
7326,9,Place of Birth
7326,25,Location
7326,25,Location
7328,8,Birthdate
7328,9,Place of Birth
7328,10,Nationality Country
7328,8,Birthdate
7328,224,Gender
7328,25,Location
7329,9,Place of Birth
7329,10,Nationality Country
7329,8,Birthdate
7329,8,Birthdate
7329,9,Place of Birth
7329,25,Location
7330,25,Location
7330,25,Location
7331,25,Location
7471,8,Birthdate
7471,9,Place of Birth
7471,25,Location
7472,25,Location
7473,25,Location
7474,25,Location
7475,25,Location
7489,8,Birthdate
7489,9,Place of Birth
7489,224,Gender
7489,10,Nationality Country
7489,25,Location
7513,8,Birthdate
7513,9,Place of Birth
7513,10,Nationality Country
7513,224,Gender
7513,8,Birthdate
7513,25,Location
7513,25,Location
7513,26,Title
7522,8,Birthdate
7522,9,Place of Birth
7522,224,Gender
7522,10,Nationality Country
7522,25,Location
7574,8,Birthdate
7574,9,Place of Birth
7574,25,Location
7574,25,Location
7576,25,Location
7579,25,Location
7580,25,Location
7581,25,Location
7583,25,Location
7583,25,Location
7583,25,Location
7584,25,Location
7584,25,Location
7584,25,Location
7584,25,Location
7585,25,Location
7589,25,Location
7589,25,Location
7590,25,Location
7590,25,Location
7590,25,Location
7590,25,Location
7590,25,Location
7590,25,Location
7590,25,Location
7593,25,Location
7595,25,Location
7598,25,Location
7600,25,Location
7600,25,Location
7618,25,Location
7618,25,Location
7631,25,Location
7637,25,Location
7638,25,Location
7639,25,Location
7639,25,Location
7640,25,Location
7641,25,Location
7642,25,Location
7643,25,Location
7643,25,Location
7644,25,Location
7644,25,Location
7645,25,Location
7647,8,Birthdate
7647,9,Place of Birth
7647,25,Location
7648,8,Birthdate
7648,9,Place of Birth
7648,25,Location
7649,25,Location
7650,8,Birthdate
7650,9,Place of Birth
7650,25,Location
7651,25,Location
7653,8,Birthdate
7653,9,Place of Birth
7653,25,Location
7655,8,Birthdate
7655,9,Place of Birth
7655,25,Location
7656,8,Birthdate
7656,9,Place of Birth
7656,25,Location
7657,8,Birthdate
7657,9,Place of Birth
7657,25,Location
7658,25,Location
7659,8,Birthdate
7659,9,Place of Birth
7659,25,Location
7660,8,Birthdate
7660,9,Place of Birth
7660,25,Location
7661,8,Birthdate
7661,9,Place of Birth
7661,25,Location
7662,8,Birthdate
7662,9,Place of Birth
7662,25,Location
7664,8,Birthdate
7664,25,Location
7665,8,Birthdate
7665,9,Place of Birth
7665,25,Location
7666,8,Birthdate
7666,25,Location
7668,8,Birthdate
7668,9,Place of Birth
7668,25,Location
7669,8,Birthdate
7669,9,Place of Birth
7669,25,Location
7670,8,Birthdate
7670,9,Place of Birth
7670,25,Location
7671,25,Location
7672,8,Birthdate
7672,9,Place of Birth
7672,25,Location
7673,8,Birthdate
7673,9,Place of Birth
7673,25,Location
7674,8,Birthdate
7674,25,Location
7677,8,Birthdate
7677,9,Place of Birth
7677,25,Location
7678,8,Birthdate
7678,9,Place of Birth
7678,25,Location
7679,25,Location
7680,8,Birthdate
7680,9,Place of Birth
7680,25,Location
7681,8,Birthdate
7681,9,Place of Birth
7681,25,Location
7682,8,Birthdate
7682,25,Location
7683,8,Birthdate
7683,9,Place of Birth
7683,25,Location
7686,8,Birthdate
7686,25,Location
7687,8,Birthdate
7687,9,Place of Birth
7687,25,Location
7688,8,Birthdate
7688,9,Place of Birth
7688,25,Location
7689,8,Birthdate
7689,9,Place of Birth
7689,25,Location
7691,8,Birthdate
7691,9,Place of Birth
7691,25,Location
7692,8,Birthdate
7692,9,Place of Birth
7692,25,Location
7693,8,Birthdate
7693,9,Place of Birth
7693,25,Location
7695,8,Birthdate
7695,25,Location
7696,8,Birthdate
7696,9,Place of Birth
7696,25,Location
7697,8,Birthdate
7697,9,Place of Birth
7697,25,Location
7698,8,Birthdate
7698,9,Place of Birth
7698,25,Location
7699,8,Birthdate
7699,9,Place of Birth
7699,25,Location
7700,8,Birthdate
7700,9,Place of Birth
7700,25,Location
7701,8,Birthdate
7701,9,Place of Birth
7701,25,Location
7704,8,Birthdate
7704,9,Place of Birth
7704,8,Birthdate
7704,9,Place of Birth
7704,25,Location
7704,25,Location
7705,8,Birthdate
7705,9,Place of Birth
7705,25,Location
7706,8,Birthdate
7706,9,Place of Birth
7706,25,Location
7707,8,Birthdate
7707,9,Place of Birth
7707,25,Location
7708,8,Birthdate
7708,9,Place of Birth
7708,25,Location
7709,8,Birthdate
7709,9,Place of Birth
7709,25,Location
7710,8,Birthdate
7710,25,Location
7712,8,Birthdate
7712,9,Place of Birth
7712,25,Location
7713,8,Birthdate
7713,9,Place of Birth
7713,25,Location
7714,8,Birthdate
7714,9,Place of Birth
7714,25,Location
7715,8,Birthdate
7715,9,Place of Birth
7715,25,Location
7716,8,Birthdate
7716,9,Place of Birth
7716,25,Location
7717,8,Birthdate
7717,9,Place of Birth
7717,25,Location
7718,8,Birthdate
7718,9,Place of Birth
7718,25,Location
7720,25,Location
7721,8,Birthdate
7721,9,Place of Birth
7721,25,Location
7723,8,Birthdate
7723,25,Location
7724,8,Birthdate
7724,9,Place of Birth
7724,25,Location
7725,8,Birthdate
7725,9,Place of Birth
7725,25,Location
7726,8,Birthdate
7726,9,Place of Birth
7726,25,Location
7727,8,Birthdate
7727,9,Place of Birth
7727,25,Location
7728,25,Location
7729,8,Birthdate
7729,9,Place of Birth
7729,25,Location
7731,8,Birthdate
7731,25,Location
7732,8,Birthdate
7732,8,Birthdate
7732,25,Location
7733,8,Birthdate
7733,25,Location
7734,8,Birthdate
7734,9,Place of Birth
7734,25,Location
7735,8,Birthdate
7735,9,Place of Birth
7735,25,Location
7736,8,Birthdate
7736,9,Place of Birth
7736,25,Location
7737,8,Birthdate
7737,25,Location
7738,8,Birthdate
7738,9,Place of Birth
7738,25,Location
7739,8,Birthdate
7739,25,Location
7740,8,Birthdate
7740,25,Location
7741,25,Location
7742,8,Birthdate
7742,9,Place of Birth
7742,25,Location
7743,8,Birthdate
7743,9,Place of Birth
7743,25,Location
7744,8,Birthdate
7744,9,Place of Birth
7744,25,Location
7745,8,Birthdate
7745,9,Place of Birth
7745,25,Location
7746,8,Birthdate
7746,9,Place of Birth
7746,25,Location
7749,8,Birthdate
7749,9,Place of Birth
7749,25,Location
7751,8,Birthdate
7751,9,Place of Birth
7751,25,Location
7752,8,Birthdate
7752,9,Place of Birth
7752,25,Location
7753,8,Birthdate
7753,9,Place of Birth
7753,25,Location
7754,25,Location
7755,25,Location
7756,25,Location
7757,8,Birthdate
7757,9,Place of Birth
7757,25,Location
7760,8,Birthdate
7760,9,Place of Birth
7760,25,Location
7761,8,Birthdate
7761,9,Place of Birth
7761,25,Location
7762,8,Birthdate
7762,9,Place of Birth
7762,25,Location
7765,8,Birthdate
7765,9,Place of Birth
7765,25,Location
7766,8,Birthdate
7766,9,Place of Birth
7766,8,Birthdate
7766,25,Location
7767,8,Birthdate
7767,9,Place of Birth
7767,25,Location
7768,8,Birthdate
7768,9,Place of Birth
7768,25,Location
7769,25,Location
7770,8,Birthdate
7770,25,Location
7771,25,Location
7772,8,Birthdate
7772,9,Place of Birth
7772,25,Location
7774,25,Location
7774,25,Location
7774,25,Location
7774,25,Location
7775,8,Birthdate
7775,25,Location
7776,8,Birthdate
